"","Columbia Gardens","Crestmont","Skyline - Hillcrest Estates","Leona Heights","Crocker Highland","Claremont","Old City","Foothill Square","Glen Highlands","Woodminster","Oak Knoll-Golf Links","Golden Gate","Lincoln Highlands","Shepherd Canyon","Lockwood Tevis","Fairfax","Clawson","Produce & Waterfront","Toler Heights","Durant Manor","Highland","Chinatown","Caballo Hills","Upper Peralta Creek","Las Palmas","Piedmont Pines","Sobrante Park","Lakewide","Merriwood","Frick","Brookfield Village","Cox","Castlemont","Coliseum","North Stonehurst","Jefferson","Eastmont","Iveywood","Temescal","Chabot Park","Sequoyah","Harrington","Highland Terrace","Eastmont Hills","Millsmont","Allendale","Grand Lake","Seminary","Fremont","Rancho San Antonio","Oakland Ave-Harrison St","Prescott","Glenview","Arroyo Viejo","Meadow Brook","St. Elizabeth","Maxwell Park","Upper Rockridge","Webster","Upper Dimond","Piedmont Avenue","Clinton","Cleveland Heights","Havenscourt","Adams Point","Redwood Heights"
"2013-04-01",0,0,0,0,7,2,0,0,3,0,0,12,3,11,0,2,15,0,4,1,0,8,3,0,0,3,0,7,10,6,0,0,0,0,0,2,3,0,34,2,8,1,2,6,3,1,15,0,2,2,23,31,9,0,0,0,3,16,0,6,22,2,20,0,21,4
"2013-05-01",0,0,0,0,7,3,0,0,3,0,0,12,3,11,0,2,15,0,4,1,0,8,3,0,0,3,0,7,10,6,0,0,0,0,0,2,3,0,36,3,8,1,2,6,4,1,16,0,2,2,24,32,11,0,0,0,3,17,0,7,22,2,21,0,22,4
"2013-06-01",0,0,0,0,7,3,0,0,3,0,0,12,3,11,0,2,15,0,4,1,0,8,3,0,0,3,0,7,10,6,0,0,0,0,0,2,3,0,38,4,9,1,2,6,6,1,16,0,2,2,25,32,11,0,0,0,3,17,0,7,23,2,21,0,22,4
"2013-07-01",0,0,0,0,7,4,0,0,3,0,0,13,3,11,0,2,15,0,4,2,0,8,3,0,0,3,0,7,10,6,0,0,0,0,0,2,3,0,40,6,9,1,3,6,6,1,17,0,2,2,26,32,11,0,0,0,5,18,0,7,26,3,22,0,23,5
"2013-08-01",0,0,0,0,7,4,0,0,3,0,0,17,3,12,0,2,17,0,4,2,0,8,3,0,0,4,0,7,11,6,0,0,0,0,0,2,3,0,42,7,9,1,3,6,6,1,18,0,2,2,26,33,11,0,0,0,5,19,0,7,27,4,23,0,27,5
"2013-09-01",0,0,0,0,7,4,0,0,3,0,0,17,5,12,0,2,17,0,4,2,0,8,3,0,0,4,0,8,11,6,0,0,0,0,0,2,3,0,42,7,9,2,3,7,7,1,19,0,3,2,27,34,11,0,0,0,5,20,0,7,28,4,26,0,28,5
"2013-10-01",0,0,0,0,8,4,0,0,3,0,0,17,5,12,0,2,17,0,4,2,0,8,5,0,0,5,0,8,11,6,0,0,0,0,0,2,3,0,42,7,9,2,3,8,7,1,19,0,3,2,27,36,11,0,0,0,6,21,0,7,28,5,26,0,28,6
"2013-11-01",0,0,0,0,9,4,0,0,3,0,0,17,5,12,0,2,18,0,4,2,0,9,5,0,0,5,0,8,14,6,0,0,0,0,0,2,3,0,44,7,9,2,3,8,7,1,19,0,3,2,27,36,11,0,0,0,6,23,0,7,29,6,28,0,29,6
"2013-12-01",0,0,0,0,9,4,0,0,3,0,0,17,5,12,0,2,18,0,4,2,0,9,5,0,0,6,0,8,16,6,0,0,0,0,0,2,3,0,44,9,9,2,3,8,7,1,19,0,3,2,27,37,11,0,0,0,6,23,0,8,30,6,28,0,30,6
"2014-01-01",0,0,0,0,9,4,0,0,3,0,0,19,5,12,0,2,18,0,4,2,0,9,6,0,0,6,0,8,16,6,0,0,0,0,0,2,4,0,44,9,9,2,3,8,7,1,20,0,3,2,27,37,11,0,0,0,6,23,0,8,30,6,29,0,31,7
"2014-02-01",0,1,0,0,9,4,0,0,5,0,0,19,5,12,0,3,18,0,4,2,0,9,7,0,0,7,0,10,17,6,0,0,0,0,0,2,4,0,44,9,10,2,3,8,7,1,22,0,3,2,27,39,11,0,0,0,6,23,0,8,31,6,29,0,31,7
"2014-03-01",0,1,0,0,9,4,0,0,5,0,0,19,5,12,0,3,19,0,4,2,0,9,7,0,0,7,0,10,18,6,0,0,0,0,0,2,4,0,44,9,10,2,3,8,7,1,22,0,3,2,27,39,15,0,0,0,6,23,0,8,31,6,29,0,31,7
"2014-04-01",0,1,0,0,10,4,0,0,5,0,0,19,5,12,0,3,20,0,4,2,0,9,7,0,0,8,0,11,18,6,0,0,0,0,0,2,4,0,46,9,10,2,3,8,7,1,23,0,3,2,28,39,15,0,0,0,6,23,0,8,31,6,30,0,32,8
"2014-05-01",0,1,0,0,11,4,0,0,5,0,0,19,5,13,0,3,20,0,4,2,0,9,7,0,0,8,0,11,19,6,0,0,0,0,0,2,4,0,46,9,10,2,4,9,7,2,24,0,3,2,29,40,15,0,0,0,6,24,0,8,31,6,31,0,32,8
"2014-06-01",0,1,0,0,11,5,0,1,5,0,0,19,5,13,0,3,21,0,4,2,0,9,7,0,0,9,0,11,19,6,0,0,0,0,0,2,4,0,46,9,10,2,4,9,8,2,24,0,3,2,29,40,15,0,0,0,6,24,0,8,32,6,32,0,33,8
"2014-07-01",0,1,0,0,12,5,0,1,5,0,0,19,5,13,0,3,21,0,4,2,0,9,7,0,0,9,0,11,20,6,0,0,0,0,0,2,4,0,46,9,10,2,4,9,8,2,25,0,3,2,30,40,18,0,0,0,8,24,1,8,33,7,32,0,33,8
"2014-08-01",0,1,0,0,12,5,0,1,5,0,0,19,5,13,0,3,21,0,4,2,0,9,7,0,0,9,0,11,22,6,0,0,0,0,0,2,4,0,46,9,10,2,4,9,8,3,26,0,3,2,30,40,19,0,0,0,8,24,1,8,33,7,34,0,33,9
"2014-09-01",0,1,0,0,12,5,0,1,5,0,0,19,5,13,0,3,25,0,4,2,0,9,12,0,0,9,0,11,22,6,0,0,0,0,0,2,4,0,47,9,10,2,4,9,10,4,26,0,3,2,31,41,19,0,0,0,8,25,1,8,34,7,35,0,34,9
"2014-10-01",0,1,0,0,12,6,0,1,5,0,0,20,5,13,0,3,27,0,4,2,0,9,12,0,0,9,0,11,22,6,0,0,0,0,0,2,4,0,47,9,10,2,4,9,10,4,26,0,3,2,34,41,21,0,0,0,8,26,1,8,40,8,36,0,34,9
"2014-11-01",0,1,0,1,12,6,0,1,5,0,0,20,5,13,0,3,27,0,4,2,0,9,12,0,0,10,0,11,23,6,0,0,0,0,0,2,4,0,50,9,10,2,4,11,11,4,26,0,3,2,34,41,21,0,0,0,8,26,1,8,40,8,36,0,36,10
"2014-12-01",0,1,0,1,12,6,0,1,5,0,0,20,5,13,0,3,29,0,4,2,0,9,13,0,0,10,0,12,23,6,0,0,0,0,0,2,4,0,50,9,10,2,4,11,11,4,26,0,3,2,34,41,21,0,0,0,8,28,1,8,40,8,36,0,36,10
"2015-01-01",0,1,0,1,13,6,0,1,5,0,0,20,5,15,0,3,29,0,5,2,0,9,13,0,0,11,0,13,24,6,0,0,0,0,0,2,4,0,51,9,10,2,5,12,12,4,26,0,3,3,35,41,21,0,0,0,8,29,1,8,40,8,37,0,36,10
"2015-02-01",0,1,0,1,13,6,0,1,5,0,0,21,5,15,0,3,29,0,5,3,0,9,13,0,0,11,0,14,25,6,0,0,0,0,0,2,4,0,52,9,10,2,5,12,12,4,28,1,3,3,35,41,21,0,0,0,8,31,1,8,43,8,38,0,36,10
"2015-03-01",0,1,0,1,14,6,0,1,5,0,0,21,6,16,0,3,29,0,5,3,0,9,13,0,0,11,0,14,26,6,0,0,0,0,0,2,4,0,52,9,10,2,5,12,12,4,29,1,3,3,35,41,21,0,0,0,8,33,1,8,43,8,39,0,37,10
"2015-04-01",0,1,0,1,14,6,0,1,5,0,0,21,6,16,0,3,29,0,5,3,0,9,13,0,0,12,0,14,26,6,0,0,0,0,0,2,4,0,53,10,12,2,5,14,13,4,30,1,3,3,35,41,21,0,0,0,8,34,1,8,44,8,39,0,38,10
"2015-05-01",0,1,0,1,14,8,0,1,5,1,0,21,6,16,0,3,29,0,5,3,0,9,13,0,0,12,0,14,26,6,0,0,0,0,0,2,4,0,54,10,12,2,5,14,13,4,30,1,4,3,35,41,21,0,0,0,9,36,1,8,44,9,41,0,38,10
"2015-06-01",0,1,0,1,14,8,0,1,6,1,0,21,6,17,0,3,33,0,5,3,0,9,13,0,0,12,0,14,26,6,0,0,0,0,0,2,4,0,54,10,12,2,5,14,13,4,30,1,4,3,35,42,24,0,0,0,9,36,1,8,44,9,43,0,39,11
"2015-07-01",0,1,0,1,15,8,0,1,6,1,0,21,6,17,0,3,34,0,5,3,0,9,13,0,0,12,0,15,26,6,0,0,0,0,0,3,4,0,55,11,12,2,5,14,14,4,32,1,4,3,35,44,25,0,0,0,9,37,1,8,45,9,43,0,39,11
"2015-08-01",0,1,0,1,15,9,0,1,7,1,0,21,7,17,0,3,35,0,7,6,0,9,13,0,0,14,0,16,27,6,0,0,0,0,0,3,4,0,55,11,12,2,5,14,14,4,33,1,4,3,36,44,25,0,0,0,10,39,1,8,45,9,44,0,39,12
"2015-09-01",0,1,0,1,15,9,0,1,7,1,0,21,7,17,0,3,35,0,7,6,0,10,13,0,0,14,0,16,27,7,0,0,0,0,0,4,4,0,55,11,12,2,5,15,14,4,36,1,5,3,36,44,26,0,0,0,10,39,1,8,46,10,46,0,42,14
"2015-10-01",0,1,0,1,15,9,0,1,7,1,0,22,8,17,0,3,35,0,7,8,0,11,13,0,0,14,1,16,27,7,0,0,0,0,0,4,5,0,56,11,12,2,5,15,14,4,36,1,5,3,37,44,27,0,0,0,10,41,1,8,47,10,46,0,43,14
"2015-11-01",0,1,0,1,15,9,0,1,7,1,0,22,8,17,0,3,35,0,7,8,0,11,15,0,0,14,1,16,27,7,0,0,0,0,0,4,5,0,56,11,15,2,5,16,14,4,36,1,5,3,38,49,29,0,0,0,10,42,1,9,48,10,46,0,43,14
"2015-12-01",0,1,0,1,15,9,0,1,8,1,0,22,8,17,0,3,36,0,7,8,0,11,15,0,0,14,1,16,29,7,0,0,0,0,0,4,5,0,59,11,15,2,5,16,14,4,38,1,5,3,39,51,29,0,0,0,11,42,1,9,48,11,46,0,44,16
"2016-01-01",0,1,0,1,15,9,0,1,8,1,0,22,8,17,0,3,36,0,7,8,0,11,16,0,0,14,1,18,30,8,0,0,0,0,0,4,5,0,61,11,15,2,5,16,14,4,39,1,5,3,39,53,29,0,0,0,11,43,1,9,49,11,46,0,44,17
"2016-02-01",0,2,0,2,15,10,0,1,8,1,0,23,8,19,1,4,36,0,7,8,0,11,16,0,0,14,1,19,30,8,0,0,0,0,0,4,5,0,61,11,16,2,5,16,16,6,39,1,5,3,40,55,29,0,0,0,12,45,1,9,50,11,49,0,47,17
"2016-03-01",0,2,0,2,15,10,0,1,8,1,0,23,8,19,1,4,36,0,7,8,0,11,16,0,0,15,1,20,30,8,0,0,0,1,0,4,5,0,61,11,16,2,5,17,16,6,40,2,5,3,40,56,30,0,0,0,12,45,1,9,51,11,49,0,52,17
"2016-04-01",0,2,0,2,15,10,0,1,8,1,0,24,8,19,1,4,36,0,7,8,0,12,16,0,0,15,1,20,30,10,0,0,0,1,0,4,5,0,61,11,16,2,5,17,16,6,40,2,5,3,41,57,30,0,0,0,12,45,1,9,52,11,49,0,52,18
"2016-05-01",0,2,0,2,15,10,0,1,8,1,0,24,8,19,1,4,36,0,7,8,0,12,16,0,0,15,1,21,30,10,0,0,0,1,0,4,5,0,61,11,16,2,5,18,16,6,40,2,5,3,42,59,30,0,0,0,13,45,1,9,52,11,51,0,52,18
"2016-06-01",0,2,0,2,15,10,0,1,8,1,0,24,8,19,1,4,36,0,7,8,0,12,16,0,0,15,1,21,30,10,0,0,0,1,0,4,5,0,61,11,16,2,5,18,16,6,40,2,5,3,42,59,30,0,0,0,13,45,1,9,52,11,51,0,52,18
"2016-07-01",0,2,0,2,15,10,0,1,8,1,0,24,8,19,1,4,36,0,7,8,0,12,16,0,0,15,1,21,30,10,0,0,0,1,0,4,5,0,61,11,16,2,5,18,16,6,40,2,5,3,42,59,30,0,0,0,13,45,1,9,52,11,51,0,52,18
"2016-08-01",0,2,0,2,15,10,0,1,8,1,0,24,8,19,1,4,36,0,7,8,0,12,16,0,0,15,1,21,30,10,0,0,0,1,0,4,5,0,61,11,16,2,5,18,16,6,40,2,5,3,42,59,30,0,0,0,13,45,1,9,52,11,51,0,52,18
"2016-09-01",0,2,0,2,15,10,0,1,8,1,0,24,8,19,1,4,36,0,7,8,0,12,16,0,0,15,1,21,30,10,0,0,0,1,0,4,5,0,61,11,16,2,5,18,16,6,40,2,5,3,42,59,30,0,0,0,13,45,1,9,52,11,51,0,52,18
"2016-10-01",0,2,0,2,15,10,0,1,8,1,0,24,8,19,1,4,36,0,7,8,0,12,16,0,0,15,1,21,30,10,0,0,0,1,0,4,5,0,61,11,16,2,5,18,16,6,40,2,5,3,42,59,30,0,0,0,13,45,1,9,52,11,51,0,52,18
"2016-11-01",0,2,0,2,15,10,0,1,8,1,0,24,8,19,1,4,36,0,7,8,0,12,16,0,0,15,1,21,30,10,0,0,0,1,0,4,5,0,61,11,16,2,5,18,16,6,40,2,5,3,42,59,30,0,0,0,13,45,1,9,52,11,51,0,52,18
"2016-12-01",0,2,0,2,15,10,0,1,8,1,0,24,8,19,1,4,36,0,7,8,0,12,16,0,0,15,1,21,30,10,0,0,0,1,0,4,5,0,61,11,16,2,5,18,16,6,40,2,5,3,42,59,30,0,0,0,13,45,1,9,52,11,51,0,52,18
"2017-01-01",0,2,0,2,15,10,0,1,8,1,0,24,8,19,1,4,36,0,7,8,0,12,16,0,0,15,1,21,30,10,0,0,0,1,0,4,5,0,61,11,16,2,5,18,16,6,40,2,5,3,42,59,30,0,0,0,13,45,1,9,52,11,51,0,52,18
"2017-02-01",0,2,0,2,15,10,0,1,8,1,0,24,8,19,1,4,36,0,7,8,0,12,16,0,0,15,1,21,30,10,0,0,0,1,0,4,5,0,61,11,16,2,5,18,16,6,40,2,5,3,42,59,30,0,0,0,13,45,1,9,52,11,51,0,52,18
